what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400621894884
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400621896526
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400621899484
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400621937466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400621938768
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400621950828
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400621957489
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400621958223
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400621963867
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400621991699
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1400621992529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400621994189
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1400622108716
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400622175348
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400622201655
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1400622209745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1400622210685
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1400622212115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1400622227315
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1400622228185
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400622245415
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622246297
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622254943
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622259926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622264566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622272387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622302488
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400622326438
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622327310
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622331354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622332754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622335495
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1400622402896
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1400622403636
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1400622404596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1400622421376
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1400622422956
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1400622429766
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1400622437146
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1400622438846
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400622440226
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622441218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400622448318
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400622457359
